paper_id,cluster,title,authors,year,venue,doi,primary_url,publication_type,peer_reviewed,system_domain,cross_shard,atomic_commit,formal_method,tla_plus,alloy,executable_implementation,mutation_validation,trace_conformance,verification_cost,artifact_available,reproducibility_evidence,independent_reproduction,main_contribution,method,main_result,main_limitation,gap_vs_dtl_lab,screening_status,exclusion_reason,primary_source_verified,notes
S01,C1;C2;C5,Design and Modular Verification of Distributed Transactions in MongoDB,William Schultz; Murat Demirbas,2025,Proceedings of the VLDB Endowment,10.14778/3750601.3750626,https://www.vldb.org/pvldb/vol18/p5045-schultz.pdf,journal article,yes,distributed cross-shard database transactions,yes,yes,TLA+; TLC explicit-state model checking; model-based test generation,yes,no,yes,no,no,yes,yes,yes,no,modular formal specification of MongoDB distributed transactions and storage-interface conformance testing,TLA+ model checking plus TLC-generated storage test cases executed against WiredTiger,verified isolation properties on bounded models and checked storage-interface implementation behavior,small finite models; published model-based testing does not exercise concurrently executing clients,No Alloy or scientific mutant catalogue; implementation check is model-generated storage testing rather than valid/negative trace conformance; no independent reproduction comparable to Phase 8E,include-direct,,yes,Closest domain comparator identified so far.
S02,C5,Validating Traces of Distributed Programs Against TLA+ Specifications,Horatiu Cirstea; Markus A. Kuppe; Benjamin Loillier; Stephan Merz,2024,SEFM 2024,10.1007/978-3-031-77382-2_8,https://arxiv.org/abs/2404.16075,conference paper,yes,distributed systems trace validation,no,yes,TLA+; TLC constrained model checking,yes,no,yes,no,yes,no,yes,yes,no,general framework for validating partial implementation traces against high-level TLA+ specifications,Java instrumentation plus trace specification and constrained TLC model checking,detected discrepancies across multiple distributed-system case studies,incomplete traces trade lower instrumentation for larger search and can be accepted incorrectly if too little information is logged,"General trace-validation method, not a cross-shard study; no Alloy, mutant layer, frozen multiseed valid/negative campaign, or independent artifact reproduction",include-direct,,yes,DLT-Lab must not claim Java-to-TLA+ trace validation as method novelty.
S03,C5;C6,TraceLinking Implementations with Their Verified Designs,Finn Hackett; Ivan Beschastnikh,2025,Proceedings of the ACM on Programming Languages OOPSLA2,10.1145/3763128,https://www.cs.ubc.ca/~bestchai/papers/oopsla25-trace-link.pdf,journal article,yes,distributed systems generated from MPCal,no,no,MPCal; TLA+; TLC trace validation,yes,no,yes,no,yes,yes,yes,yes,yes,automated trace linking between PGo-generated implementations and verified designs,"compiler-supported instrumentation; generated TLA+ trace interpretation; one-path, all-paths and sidestep validation",found nine previously undetected bugs across three distributed systems,automation depends on PGo/MPCal assumptions; one raftkvs all-paths validation exceeded 12 hours,Not cross-shard; no Alloy or mutation-based property layer; implementation is compiler-generated from the formal source whereas DTL-Lab validates an independently implemented Java protocol,include-direct,,yes,Antithesis reproduced part of the experiments; independent reproduction has partial scope.
S04,C4,Towards Strengthening Formal Specifications with Mutation Model Checking,Maxime Cordy; Sami Lazreg; Axel Legay; Pierre Yves Schobbens,2023,ESEC/FSE 2023,10.1145/3611643.3613080,https://orbilu.uni.lu/handle/10993/59630,conference NIER,yes,formal specification strength assessment,no,no,Promela; LTL; SPIN model checking,no,no,yes,yes,no,no,unclear,unclear,no,mutation model checking to assess and strengthen formal specifications,syntactic Promela mutation plus SPIN checks and mutation-score analysis,existing specifications killed about 60 percent and 40 percent of generated mutants in two case studies,preliminary five-page NIER; proposed strengthening framework not yet fully operational,Not blockchain; no TLA+ or Alloy experiments; broad syntactic mutants rather than a small protocol-targeted scientific mutant catalogue,include-direct,,yes,DLT-Lab applies mutation-based validation but does not synthesize stronger properties.
S05,C2;C3,Technical Report: Exploring Automatic Model-Checking of the Ethereum specification,Igor Konnov; Jure Kukovec; Thomas Pani; Roberto Saltini; Thanh Hai Tran,2025,arXiv technical report,,https://arxiv.org/abs/2501.07958,technical report,no,Ethereum 3SF consensus,no,no,TLA+; Apalache; SMT/CVC5; Alloy,yes,yes,yes,yes,no,yes,yes,yes,no,multi-formalism automated model checking and abstraction study for Ethereum 3SF AccountableSafety,"manual translation from executable Python spec; TLA+ abstractions; Apalache, CVC5 and Alloy experiments",bounded AccountableSafety verification for small instances; deliberate bugs yield counterexamples; larger configurations exhibit severe cost and timeouts,technical report; bounded small instances; runtime variance and very long timeouts; no implementation trace conformance,"Not cross-shard transactions; no runtime implementation-model conformance or independent reproduction comparable to Phase 8E; however it already combines TLA+, Alloy, deliberate defects and verification-cost experiments",include-direct,,yes,Critical comparator that narrows DTL-Lab integration novelty.
S18,C2;C5;C6,Smart Casual Verification of the Confidential Consortium Framework,Heidi Howard; Markus A. Kuppe; Edward Ashton; Amaury Chamayou; Natacha Crooks,2025,NSDI 2025,,https://www.usenix.org/conference/nsdi25/presentation/howard,conference paper,yes,production distributed consensus and client consistency,no,no,TLA+; TLC model checking; simulation; trace validation,yes,no,yes,no,yes,yes,yes,unclear,no,smart casual verification tying TLA+ specifications to a production C++ implementation and CI,"model checking, simulation, automated testing and implementation trace validation",found six subtle safety and liveness bugs before production and integrated validation into CI,substantial initial trace-validation engineering effort; not a cross-shard transaction study,No Alloy or mutation-based property layer and no independent reproduction comparable to Phase 8E; much stronger continuous production integration,include-direct,,yes,Critical comparator for TLA+ plus implementation trace validation plus CI.
S19,C3;C5,Protocol Conformance with Choreographic PlusCal,Darius Foo; Andreea Costea; Wei-Ngan Chin,2023,TASE 2023,10.1007/978-3-031-35257-7_8,https://dariusf.github.io/cpluscal.pdf,conference paper,yes,distributed protocol conformance,no,yes,Choreographic PlusCal; TLA+; TLC; generated monitors,yes,no,yes,no,yes,yes,yes,unclear,no,choreographic protocol specification and compilation of TLA+ models into conformance monitors,project choreography to PlusCal/TLA+ and execute generated Go monitors on observed implementation behavior,demonstrated low monitoring overhead on a 2PC implementation and etcd,monitoring is sound but incomplete and depends on executed assertions and faithful instrumentation,"Not blockchain cross-shard; no Alloy, mutation layer, controlled valid/negative multiseed trace corpus or independent reproduction",include-direct,,yes,Direct methodological comparator for 2PC implementation conformance.
S20,C2;C5,Verifying Zookeeper based on Model-Based runtime Trace-Checking using TLA+,Zhi Niu; Luming Dong; Yong Zhu; Li Chen,2022,ICCSIE 2022,10.1145/3558819.3558822,https://doi.org/10.1145/3558819.3558822,conference paper,yes,ZooKeeper runtime trace checking,no,unclear,TLA+; runtime trace checking,yes,no,yes,unclear,yes,unclear,unclear,unclear,unclear,runtime trace checking of ZooKeeper against a TLA+ model,full text not recovered during G4; no detailed method claims retained,not used for substantive comparison because full text was unavailable,primary full text unavailable during screening,Not assessed beyond metadata,include-supporting,,no,Metadata verified; retain for snowballing only.
S21,C5;C6,Model Checking Guided Testing for Distributed Systems,Dong Wang; Wensheng Dou; Yu Gao; Chenao Wu; Jun Wei; Tao Huang,2023,EuroSys 2023,10.1145/3552326.3587442,https://gaoyu-cn.github.io/paper/2023-eurosys-mocket.pdf,conference paper,yes,distributed systems implementation testing,no,no,TLA+; model checking guided systematic testing,yes,no,yes,no,yes,yes,yes,yes,no,use verified TLA+ state spaces to systematically test distributed-system implementations,"generate tests from verified abstract states, force Java executions and compare runtime states with formal states","found three previously unknown implementation bugs, four known bugs and two specification bugs",manual modelling and mapping effort; coverage depends on abstraction and mapped actions,Not cross-shard blockchain; no Alloy or mutation property validation; stronger state-space-driven implementation testing but no independent reproduction badge,include-direct,,yes,EuroSys artifact has Artifacts Available badge but not Results Reproduced.
S22,C5,Model Checking Guided Incremental Testing for Distributed Systems,Yu Gao; Dong Wang; Wensheng Dou; Wenhan Feng; Yu Liang; Yuan Feng; Jun Wei,2025,Proceedings of the ACM on Software Engineering ISSTA 2025,10.1145/3728883,https://wsdou.github.io/papers/2025-issta-imocket.pdf,journal article,yes,incremental testing of distributed systems,no,no,TLA+; model checking guided incremental testing,yes,no,yes,no,yes,yes,unclear,unclear,no,change-aware incremental model-checking-guided testing,identify affected formal state space and generate implementation tests focused on changed states and transitions,74.83 percent average test-case reduction and 22.54 to 99.99 percent testing-time reduction across 12 change scenarios,cannot automatically detect some changes outside mapped actions or concurrency changes; potentially high state-graph cost,"Methodological evolution of Mocket, not a cross-shard validation study and no Alloy, mutation-property layer or independent reproduction",include-core,,yes,Useful as recent state of the art for implementation-model testing efficiency.
